LEVEL_3_CO,TOTAL,RELATIVE,RICHNESS,RANGE_MEAN,RANGE_MEDIAN,RANGE_AREA,ENDEMISM_T,ENDEMISM_R,BIEN_OCCUR,ENDEMIC_SEQ,GEN_DUP
KRA,1570,0.758454106280193,2070,30.9333333333333,19,21232302.8242657,87,0.0420289855072464,0.429468599033816,0.0344827586206897,0.0689953200483092
BLZ,2403,0.716457960644007,3354,19.7838401908169,14,7940800.66289505,65,0.0193798449612403,0.717352415026834,0.138461538461538,0.0457872130292188
FRG,2856,0.606755895474825,4707,13.3624389207563,8,8931078.32240281,296,0.0628850647971107,0.693647758657319,0.138513513513514,0.0374591698534098
SUR,2657,0.627835538752363,4232,14.6271266540643,9,9650876.66596645,116,0.0274102079395085,0.728260869565217,0.0431034482758621,0.038828051157845
URU,1520,0.619144602851324,2455,13.1633401221996,6,7328395.11548269,142,0.0578411405295316,0.421588594704684,0.0774647887323944,0.037197683299389
NDA,1026,0.942148760330578,1089,43.198347107438,36,15756887.6018365,1,0.000918273645546373,0.566574839302112,0,0.100084653351699
KAZ,3225,0.61487130600572,5245,18.1189704480458,7,12413245.1340419,526,0.100285986653956,0.117254528122021,0.142585551330798,0.0450682197330791
CHX,2270,0.667647058823529,3400,19.2385294117647,8,13543222.6205118,329,0.0967647058823529,0.273529411764706,0.130699088145897,0.0522863051470588
RWA,1528,0.647732089868588,2359,22.2861381941501,15,13249794.7389699,47,0.01992369648156,0.244595167443832,0.0851063829787234,0.0398705754557016
CHQ,1546,0.716736207695874,2157,16.2526657394529,6,11299923.5177283,158,0.0732498840982847,0.509503940658322,0.170886075949367,0.060660060268892
CAB,531,0.570967741935484,930,11.752688172043,8,6360084.88576344,44,0.0473118279569892,0.0774193548387097,0.0454545454545455,0.0278309811827957
COM,567,0.63,900,22.2566666666667,5,10510632.0619,192,0.213333333333333,0.358888888888889,0.265625,0.0439149305555556
FIJ,531,0.381465517241379,1392,10.4396551724138,1,3340674.51190374,758,0.544540229885057,0.247844827586207,0.216358839050132,0.0240436422413793
MOR,3035,0.730621088107848,4154,19.3738565238325,8,9391150.1709557,687,0.165382763601348,0.695233509870005,0.406113537117904,0.0523666947520462
VAN,421,0.492974238875878,854,13.7142857142857,5,4466516.77189696,185,0.216627634660422,0.225995316159251,0.135135135135135,0.0352751756440281
GAM,601,0.759797724399494,791,38.3185840707965,29,20344046.0542604,1,0.00126422250316056,0.0859671302149178,0,0.0573739728192162
GNB,949,0.671145685997171,1414,30.961810466761,23,16290139.8151202,5,0.00353606789250354,0.397454031117397,0,0.0453058698727016
SIE,1587,0.629761904761905,2520,21.818253968254,15,11180121.9565238,43,0.0170634920634921,0.156349206349206,0.116279069767442,0.0373325892857143
CHA,1404,0.665087636191378,2111,29.5731880625296,22,18427666.1750592,35,0.0165798199905258,0.0791094268119375,0.0857142857142857,0.045294735907153
CPV,450,0.75,600,26.2316666666667,15,15254788.3900333,0,0,0.525,NA,0.0548958333333333
SIC,2018,0.817666126418152,2468,28.6628849270665,21,11960620.1698136,210,0.0850891410048622,0.576175040518639,0.323809523809524,0.0686062854538088
BRY,1358,0.778669724770642,1744,30.4994266055046,17,20567125.6310321,27,0.0154816513761468,0.265481651376147,0.0740740740740741,0.0697525444380734
CTA,1179,0.795546558704453,1482,30.8643724696356,17,20805650.9981444,14,0.00944669365721997,0.107287449392713,0,0.0732856781376518
BAL,1240,0.868347338935574,1428,31.4712885154062,24,13252772.4128291,123,0.0861344537815126,0.759103641456583,0.634146341463415,0.0723805147058824
COR,1791,0.852857142857143,2100,33.2195238095238,26,13743663.5176667,89,0.0423809523809524,0.552857142857143,0.269662921348315,0.075375744047619
SAR,1662,0.827689243027888,2008,30.417828685259,23,12635434.3641484,144,0.0717131474103586,0.615537848605578,0.236111111111111,0.0708377427788845
TUN,1908,0.807106598984772,2364,25.7580372250423,18,12251098.9134856,54,0.0228426395939086,0.428934010152284,0.111111111111111,0.0630882508460237
KRI,1528,0.803364879074658,1902,26.4915878023134,19,10997111.4794006,201,0.105678233438486,0.580967402733964,0.482587064676617,0.0623973120399579
ALB,2799,0.828596802841918,3378,27.3875074008289,20,11389692.3012966,62,0.0183540556542333,0.222616933096507,0.258064516129032,0.0679049178507993
ROM,2608,0.751585014409222,3470,29.0835734870317,21,13037657.4126109,193,0.0556195965417867,0.403746397694524,0.103626943005181,0.0640850144092219
TUE,1855,0.851698806244261,2178,32.9100091827365,27,13955806.7228512,17,0.00780532598714417,0.0899908172635445,0.235294117647059,0.0756033344811754
RUC,1530,0.763092269326683,2005,37.9925187032419,31,19274389.5245037,42,0.0209476309226933,0.571072319201995,0,0.0752532730673317
